ID;description;owner;timeline;risks_ID
20466921-7d57-4e76-b14c-e53fd97dcb11;SLA violation: authorize account manager to offer service credits for recent delivery issues;suitable BuPa;Q4 2022;
20466921-7d57-4e76-b14c-e53fd97dcb12;SLA violation: review third party contractors to ease service delivery challenges;suitable BuPa;Q4 2022;
20466921-7d57-4e76-b14c-e53fd97dcb13;Embargo violation: investigate source of shipment request, revoke authorization;SFSF Employee with link possible?;29.03.2023;
20466921-7d57-4e76-b14c-e53fd97dcb14;Embargo violation: review shipment proceedure and stop delivery until further notice;SFSF Employee with link possible?;01.03.2023;
b7377e73-e5a3-4929-b5a2-0b331371414a;description9194;owner1300;timeline7659;4c36484c-202e-4029-87d0-740981a74661
e1e952b1-76c7-4014-9dba-43ed4ab7d69c;description3329;owner9554;timeline3227;20466921-7d57-4e76-b14c-e53fd97dcb13
35450680-d758-4f33-a67c-03963a0df209;description4154;owner5841;timeline3243;8bdb0070-ff1c-43d5-9f70-3e151e82d8c3
155c6c4d-4583-455a-9a99-1724a717394f;description1267;owner1887;timeline6325;5d481a43-9629-47ec-9c9a-016e34acf284
6221e910-1654-4577-a62f-1ff48f54ff63;description3198;owner2223;timeline8591;5d481a43-9629-47ec-9c9a-016e34acf284
607b3476-a370-4bc3-9128-a563a67cd1d7;description4207;owner7515;timeline4417;71be6e13-40ad-4f84-b16e-b009a96771c4
a1063016-f170-4555-b75b-3c0844497577;description805;owner9707;timeline8106;951e306a-ff01-47cf-a97b-336cdb243b66
73070d75-0368-4d93-b12e-407210a83376;description1686;owner4987;timeline1251;951e306a-ff01-47cf-a97b-336cdb243b66
a78a006d-028e-4928-a59b-75ffdd886296;description5958;owner4627;timeline7847;20466921-7d57-4e76-b14c-e53fd97dcb14
dbc0bc4a-6270-43f1-813e-4725e709230d;description8949;owner702;timeline5836;5d481a43-9629-47ec-9c9a-016e34acf284